City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,jiuquan,39.7432,98.5174,-8.66,51,62,1.26,CN,1734486122
319,hollidaysburg,40.4273,-78.3889,3.38,75,13,2.05,US,1734485960
320,port-vila,-17.7338,168.3219,28.53,67,85,2.17,VU,1734486125
321,berdigestyakh,62.0989,126.6992,-20.88,92,100,4.66,RU,1734486127
322,yerofey pavlovich,53.9667,121.9667,-14.31,82,100,1.01,RU,1734486128
323,uglegorsk,49.0833,142.0333,-5.45,70,100,8.56,RU,1734486129
324,el fuerte,26.4189,-108.6194,20.53,42,20,2.04,MX,1734486130
325,alaghsas,17.0187,8.0168,15.51,23,4,3.3,NE,1734486132
326,shamva,-17.3116,31.5756,20.46,92,100,1.05,ZW,1734486133
327,labrador city,52.9463,-66.9114,-0.46,86,100,5.81,CA,1734486134
328,akhalk'alak'i,41.4051,43.4863,-8.32,89,86,2.21,GE,1734486137
329,progreso,21.2833,-89.6667,24.01,89,4,5.38,MX,1734486138
330,sao gabriel da cachoeira,-0.1303,-67.0892,23.04,100,100,0.3,BR,1734486140
331,noosa heads,-26.3833,153.15,27.03,78,66,3.23,AU,1734486141
332,viedma,-40.8135,-62.9967,20.55,50,57,5.6,AR,1734485901
333,marka,1.7159,44.7717,24.58,87,85,5.92,SO,1734486143
334,shahecheng,36.9383,114.5058,-0.12,35,0,0.42,CN,1734486145
335,ha'il,27.5219,41.6907,4.01,38,0,1.03,SA,1734486146
336,susuman,62.7833,148.1667,-20.06,97,100,1.48,RU,1734486147
337,calvinia,-31.4707,19.776,12.34,63,0,1.58,ZA,1734486148
338,assare,-6.8744,-39.875,26.38,46,86,2.41,BR,1734486150
339,karratha,-20.7377,116.8463,34.39,50,55,4.5,AU,1734486151
340,fenghua,29.6563,121.4064,7.94,66,96,4.0,CN,1734486152
341,monki,53.405,22.7979,2.86,83,68,4.82,PL,1734485894
342,bodaybo,57.8506,114.1933,-26.23,100,100,0.71,RU,1734486155
343,khandyga,62.6667,135.6,-33.54,98,99,0.31,RU,1734486156
344,san antonio de pale,-1.4014,5.6325,26.6,81,78,2.52,GQ,1734486157
345,enewetak,11.3474,162.3373,27.36,79,66,11.69,MH,1734486159
346,rongelap,11.1635,166.8941,27.37,76,80,12.13,MH,1734486160
347,kerouane,9.2667,-9.0167,18.01,23,53,1.06,GN,1734486161
348,bunia,1.5667,30.25,17.59,65,63,0.96,CD,1734486162
349,nadi,-17.8,177.4167,30.0,62,40,5.14,FJ,1734486164
350,longido,-2.7333,36.6833,18.58,80,81,3.05,TZ,1734486165
351,brumunddal,60.881,10.9395,-4.41,85,100,0.98,NO,1734486166
352,dashiqiao,40.6373,122.5025,-7.8,42,0,4.31,CN,1734486167
353,howard springs,-12.497,131.047,32.68,87,100,3.48,AU,1734486169
354,nuku'alofa,-21.1333,-175.2,31.19,66,40,8.23,TO,1734485929
355,mount isa,-20.7333,139.5,38.87,25,8,7.2,AU,1734486174
356,bardai,11.65,7.2333,13.52,20,88,4.57,NG,1734486175
357,ballina,-28.8667,153.5667,23.55,87,99,10.9,AU,1734486177
358,jalapa,19.5333,-96.9167,13.42,91,97,1.63,MX,1734486038
